transaction_id,sale_date,store_id,product_id,quantity,unit_price,discount,total_amount,payment_method,sales_rep
TXN-00990,06/12/2024,S006,P017,3,39.95,0,119.85,APPLE PAY,Amy K.
TXN-01164,03/23/2023,S001, P013 ,-3,44.95,0.25,101.14,Cash,David N.
TXN-00602,04-Oct-2024,,P005,2,34.99,0,69.98,Debit Card,Amy K.
TXN-00061,2024-12-21,S005,P008,1,89.95,N/A,71.96,Apple Pay,James T.
TXN-00214,11-Feb-2024,S005,P011,1,198.0,0,198.0,PayPal,Priya M.
TXN-00828,25-Sep-2024,S005,P017,5,39.95,0.1,179.78,GIFT CARD,Lin W.
TXN-01025,12-Feb-2024,S001,P007,1,64.95,0.05,61.7,gift card,David N.
TXN-00524,2023-07-23,S003,P002,5,59.95,0.25,447.41,Debit Card,Maria S.
TXN-00736,04/28/2024,S001,P005,5,34.99,0.25,131.21,Apple Pay,Priya M.
TXN-00043,19-Feb-2024,S008,P015,1,44.95,0,44.95,Debit Card,Amy K.
TXN-01150,2023-11-06,S006,P015,5,44.95,0,224.75,CREDIT CARD,Priya M.
TXN-00555,03/31/2023,S004,P005,5,34.99,0,174.95,Gift Card,Lin W.
TXN-00004,10/12/2024,S002, P008 ,1,89.95,0.2,71.96,Gift Card,Amy K.
TXN-00988,01/15/2023,S005,P005,3,34.99,0.1,94.47,Gift Card,Lin W.
TXN-00383,01-Dec-2024,S004,P014,3,89.95,0.2,215.88,Credit Card,
TXN-00038,21-Jun-2023,S002,P019,2,79.95,0.25,119.93,Cash,
TXN-00036,09/24/2023,S002,P014,2,89.95,0.25,134.93,Credit Card,Lin W.
TXN-00148,06/23/2024,S002,P017,2,39.95,0.05,75.91,PayPal,Carlos R.
TXN-00373,31-Aug-2024,S005,P007,1,64.95,0,64.95,Credit Card,James T.
TXN-00360,2023-10-29,S006,P003,5,129.0,0,645.0,debit card,Priya M.
TXN-00969,08-Nov-2024,S005,P020,1,59.95,0.25,44.96,PAYPAL,Carlos R.
TXN-00851,07/22/2024,S005, P004 ,1,49.95,0.2,39.96,credit card,Carlos R.
TXN-00742,15-Jan-2023,S001,P011,3,198.0,0,594.0,PayPal,David N.
TXN-00846,2024-12-16,S007,P017,5,39.95,0,199.75,APPLE PAY,David N.
TXN-00381,2024-07-03,S001, P013 ,1,44.95,0.05,42.7,apple pay,Tom B.
TXN-00177,11-Nov-2024,S005,P003,3,129.0,0.1,771.56,Cash,James T.
TXN-01126,10-Jan-2023,S002,P013,3,44.95,0.15,114.62,Credit Card,Carlos R.
TXN-00123,23-Oct-2023,S004,P009,5,74.95,0.1,337.28,Cash,Carlos R.
TXN-01189,19-Aug-2024,S002,P016,3,49.95,,119.88,Debit Card,Maria S.
TXN-00815,2023-08-16,S003,P013,5,44.95,0.05,213.51,Apple Pay,
TXN-00463,2023-03-31,S008, P010 ,5,69.95,0.15,297.29,Cash,Priya M.
TXN-00161,12-Sep-2023,S007,P018,1,85.0,0.15,72.25,Credit Card,James T.
TXN-00013,03/09/2024,S007,P007,1,64.95,0,64.95,Cash,Priya M.
TXN-01009,2024-02-21,S007,P002,5,59.95,0,299.75,Credit Card,Tom B.
TXN-00963,12/25/2024,S007,P011,4,198.0,0,792.0,Apple Pay,David N.
